Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,HSN Code
,3-pc-set,,,,,,,,s3727878,,Size,M,,,,,,,,1650,2360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764448669656-gemini_generated_image_d7t5ewd7t5ewd7t5-28-10.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,
3pcs set,3pcs-set,"“Soft cream suit with cute embroidered bird motifs and a pastel floral dupatta — simple, charming, and beautifully graceful.”",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3733139,,Size,L,,,,,,,,1599,2280,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764448671053-gemini_generated_image_d7t5ewd7t5ewd7t5-28-13.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764448671053-gemini_generated_image_d7t5ewd7t5ewd7t5-28-13.jpg,FALSE,3pcs set,"“Soft cream suit with cute embroidered bird motifs and a pastel floral dupatta — simple, charming, and beautifully graceful.”",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3733141,,Size,2XL,,,,,,,,1599,2280,,TRUE,,,,,,shopify,5,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764448679704-gemini_generated_image_d7t5ewd7t5ewd7t5-28-37.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764448679704-gemini_generated_image_d7t5ewd7t5ewd7t5-28-37.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3733138,,Size,M,,,,,,,,1599,2280,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764448671053-gemini_generated_image_d7t5ewd7t5ewd7t5-28-13.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3733140,,Size,XL,,,,,,,,1599,2280,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764448679704-gemini_generated_image_d7t5ewd7t5ewd7t5-28-37.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
PRINTED  PLAZO SET,printed-plazo-set,"“Fresh and vibrant green floral suit set with elegant prints and a matching dupatta — perfect for a breezy, everyday chic look.”",jaipur fashions,,Plazo sets,,TRUE,Active,S3765052,,Size,M,,,,,,,,450,900,,TRUE,,,,,,shopify,10,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765019796709-gemini_generated_image_d7t5ewd7t5ewd7t5-28-38-34.jpg,1,PRINTED  PLAZO SET,https://only2u-media.b-cdn.net/productsimages/1765019796709-gemini_generated_image_d7t5ewd7t5ewd7t5-28-38-34.jpg,FALSE,PRINTED  PLAZO SET,"“Fresh and vibrant green floral suit set with elegant prints and a matching dupatta — perfect for a breezy, everyday chic look.”",,,,,,,,new,FALSE,,,,,,54072040
,printed-plazo-set,,,,,,,,S3765053,,Size,L,,,,,,,,450,900,,TRUE,,,,,,shopify,10,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765019796709-gemini_generated_image_d7t5ewd7t5ewd7t5-28-38-34.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,printed-plazo-set,,,,,,,,S3765054,,Size,XL,,,,,,,,450,900,,TRUE,,,,,,shopify,10,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765019579846-l_whatsapp_image_2025-11-29_at_4.11.16_pm_1.jpeg,2,PRINTED  PLAZO SET,https://only2u-media.b-cdn.net/productsimages/1765019579846-l_whatsapp_image_2025-11-29_at_4.11.16_pm_1.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,printed-plazo-set,,,,,,,,S3765055,,Size,2XL,,,,,,,,450,900,,TRUE,,,,,,shopify,9,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765019579846-l_whatsapp_image_2025-11-29_at_4.11.16_pm_1.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3 pcs set,3-pcs-set,"Elegant red kurti set with beautiful embroidery and a soft floral dupatta. Perfect for festive wear, office wear, and casual outings. Comfortable, stylish, and premium look.",DHRITI ENTERPRISES,,3 PCS SET,,TRUE,Active,s3712123,,Size,3XL,,,,,,,,1799,2570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449790958-gemini_generated_image_d7t5ewd7t5ewd7t5-28-43.jpg,1,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1764449790958-gemini_generated_image_d7t5ewd7t5ewd7t5-28-43.jpg,FALSE,3 pcs set,"Elegant red kurti set with beautiful embroidery and a soft floral dupatta. Perfect for festive wear, office wear, and casual outings. Comfortable, stylish, and premium look.",,,,,,,,new,FALSE,,,,,,62019100
,3-pcs-set,,,,,,,,s3712124,,Size,4XL,,,,,,,,1799,2570,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449790958-gemini_generated_image_d7t5ewd7t5ewd7t5-28-43.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,62019100
,3-pcs-set,,,,,,,,s3712125,,Size,5XL,,,,,,,,1799,2571,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449790958-gemini_generated_image_d7t5ewd7t5ewd7t5-28-43.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,62019100
3 pc set,3-pc-set,"Elegant pink kurti set with beautiful embroidery and a soft floral dupatta. Perfect for festive wear, office wear, and casual outings. Comfortable, stylish, and premium look.",jaipur fashions,,3 PCS SET,,TRUE,Active,s3737055,,Size,XL,,,,,,,,2500,3570,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449193310-gemini_generated_image_d7t5ewd7t5ewd7t5-28-25.jpg,1,3 pc set,https://only2u-media.b-cdn.net/productsimages/1764449193310-gemini_generated_image_d7t5ewd7t5ewd7t5-28-25.jpg,FALSE,3 pc set,"Elegant pink kurti set with beautiful embroidery and a soft floral dupatta. Perfect for festive wear, office wear, and casual outings. Comfortable, stylish, and premium look.",,,,,,,,new,FALSE,,,,,,54072040
,3-pc-set,,,,,,,,s3737054,,Size,L,,,,,,,,2500,3570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449181413-gemini_generated_image_d7t5ewd7t5ewd7t5-28-22.jpg,2,3 pc set,https://only2u-media.b-cdn.net/productsimages/1764449181413-gemini_generated_image_d7t5ewd7t5ewd7t5-28-22.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pc-set,,,,,,,,s3737056,,Size,2XL,,,,,,,,2500,3570,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449193310-gemini_generated_image_d7t5ewd7t5ewd7t5-28-25.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pc-set,,,,,,,,s3737053,,Size,M,,,,,,,,2500,3570,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449181413-gemini_generated_image_d7t5ewd7t5ewd7t5-28-22.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
UMBRELLA SET,umbrella-set,"Make a graceful statement with this elegant Anarkali kurta set, designed to blend traditional charm with contemporary sophistication.",DHRITI ENTERPRISES,,3 PCS SET,,TRUE,Active,S3791781,,Size,XL,,,,,,,,1250,1790,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766146357463-1-59.jpeg,1,UMBRELLA SET,https://only2u-media.b-cdn.net/productsimages/1766146357463-1-59.jpeg,FALSE,UMBRELLA SET,"Make a graceful statement with this elegant Anarkali kurta set, designed to blend traditional charm with contemporary sophistication.",,,,,,,,new,FALSE,,,,,,54072040
,umbrella-set,,,,,,,,S3791782,,Size,2XL,,,,,,,,1250,1790,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766146357463-1-59.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,umbrella-set,,,,,,,,S3791779,,Size,M,,,,,,,,1250,1790,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766146340575-1-147.jpeg,2,UMBRELLA SET,https://only2u-media.b-cdn.net/productsimages/1766146340575-1-147.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,umbrella-set,,,,,,,,S3791780,,Size,L,,,,,,,,1250,1790,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766146340575-1-147.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3 pcs set,3-pcs-set,"Vibrant white and yelloel kurti set with beautiful prints and a matching dupatta. Soft, flowy, and perfect for festive wear, casual outings, and everyday elegance.",jyothi studio,,3 PCS SET,,TRUE,Active,s3763770,,Size,L,,,,,,,,1599,2280,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764450918046-gemini_generated_image_d7t5ewd7t5ewd7t5-28-19.jpg,1,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1764450918046-gemini_generated_image_d7t5ewd7t5ewd7t5-28-19.jpg,FALSE,3 pcs set,"Vibrant white and yelloel kurti set with beautiful prints and a matching dupatta. Soft, flowy, and perfect for festive wear, casual outings, and everyday elegance.",,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3763769,,Size,M,,,,,,,,1599,2280,,TRUE,,,,,,shopify,5,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450918046-gemini_generated_image_d7t5ewd7t5ewd7t5-28-19.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3763773,,Size,3XL,,,,,,,,1599,2280,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764450940977-gemini_generated_image_d7t5ewd7t5ewd7t5-28-15.jpg,2,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1764450940977-gemini_generated_image_d7t5ewd7t5ewd7t5-28-15.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3763772,,Size,2XL,,,,,,,,1599,2280,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450940977-gemini_generated_image_d7t5ewd7t5ewd7t5-28-15.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3763771,,Size,XL,,,,,,,,1599,2280,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450940977-gemini_generated_image_d7t5ewd7t5ewd7t5-28-15.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3 pcs set,3-pcs-set,"Vibrant white floral kurti set with beautiful prints and a matching dupatta. Soft, flowy, and perfect for festive wear, casual outings, and everyday elegance.",jaipur fashions,,3 PCS SET,,TRUE,Active,s3742819,,Size,M,,,,,,,,850,1210,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765007604266-m_whatsapp_image_2025-11-28_at_6.43.09_pm_3-1.jpeg,1,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1765007604266-m_whatsapp_image_2025-11-28_at_6.43.09_pm_3-1.jpeg,FALSE,3 pcs set,"Vibrant white floral kurti set with beautiful prints and a matching dupatta. Soft, flowy, and perfect for festive wear, casual outings, and everyday elegance.",,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3742822,,Size,2XL,,,,,,,,850,1210,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765007577065-l_whatsapp_image_2025-11-28_at_6.43.09_pm_3-1.jpeg,2,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1765007577065-l_whatsapp_image_2025-11-28_at_6.43.09_pm_3-1.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3742820,,Size,L,,,,,,,,850,1210,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765007604266-m_whatsapp_image_2025-11-28_at_6.43.09_pm_3-1.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pcs-set,,,,,,,,s3742821,,Size,XL,,,,,,,,850,1210,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765007577065-l_whatsapp_image_2025-11-28_at_6.43.09_pm_3-1.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
umbrella 3pcs set,umbrella-3pcs-set,"“Soft cream pleated kurta paired with a rich floral purple dupatta — graceful, classy, and beautifully feminine.”",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3763079,,Size,XL,,,,,,,,1750,2500,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764450467155-gemini_generated_image_d7t5ewd7t5ewd7t5-28-12.jpg,1,umbrella 3pcs set,https://only2u-media.b-cdn.net/productsimages/1764450467155-gemini_generated_image_d7t5ewd7t5ewd7t5-28-12.jpg,FALSE,umbrella 3pcs set,"“Soft cream pleated kurta paired with a rich floral purple dupatta — graceful, classy, and beautifully feminine.”",,,,,,,,new,FALSE,,,,,,
,umbrella-3pcs-set,,,,,,,,S3763081,,Size,3XL,,,,,,,,1750,2500,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450467155-gemini_generated_image_d7t5ewd7t5ewd7t5-28-12.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,
,umbrella-3pcs-set,,,,,,,,S3763077,,Size,M,,,,,,,,1750,2500,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764450451131-gemini_generated_image_d7t5ewd7t5ewd7t5-28-5.jpg,2,umbrella 3pcs set,https://only2u-media.b-cdn.net/productsimages/1764450451131-gemini_generated_image_d7t5ewd7t5ewd7t5-28-5.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,
,umbrella-3pcs-set,,,,,,,,S3763078,,Size,L,,,,,,,,1750,2500,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450451131-gemini_generated_image_d7t5ewd7t5ewd7t5-28-5.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,
,umbrella-3pcs-set,,,,,,,,S3763080,,Size,2XL,,,,,,,,1750,2500,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450467155-gemini_generated_image_d7t5ewd7t5ewd7t5-28-12.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,
3 PC UMBRELLA SET,3-pc-umbrella-set,"Elevate your festive and occasion wear with this elegant ivory Anarkali kurta set, designed for timeless grace and effortless comfort.",jaipur fashions,,3 PCS SET,,TRUE,Active,A3702695,,Size,M,,,,,,,,1699,2430,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766146775456-1-148.jpeg,1,3 PC UMBRELLA SET,https://only2u-media.b-cdn.net/productsimages/1766146775456-1-148.jpeg,FALSE,3 PC UMBRELLA SET,"Elevate your festive and occasion wear with this elegant ivory Anarkali kurta set, designed for timeless grace and effortless comfort.",,,,,,,,new,FALSE,,,,,,54071011
,3-pc-umbrella-set,,,,,,,,A3702696,,Size,L,,,,,,,,1699,2430,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766146775456-1-148.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54071011
,3-pc-umbrella-set,,,,,,,,A3702697,,Size,XL,,,,,,,,1699,2430,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766146787506-1-60.jpeg,2,3 PC UMBRELLA SET,https://only2u-media.b-cdn.net/productsimages/1766146787506-1-60.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54071011
,3-pc-umbrella-set,,,,,,,,A3702698,,Size,2XL,,,,,,,,1699,2430,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766146787506-1-60.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54071011
3pcs set,3pcs-set,"Step into effortless elegance with this rose-pink embroidered kurta set. Beautiful white floral detailing and a soft, flowy dupatta make it perfect for festive moments and everyday grace.",RUDRA TEXTILES,,3 PCS SET,,TRUE,Active,S3763762,,Size,2XL,,,,,,,,1550,2210,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765018218207-l_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1765018218207-l_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,FALSE,3pcs set,"Step into effortless elegance with this rose-pink embroidered kurta set. Beautiful white floral detailing and a soft, flowy dupatta make it perfect for festive moments and everyday grace.",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3763759,,Size,M,,,,,,,,1550,2210,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765018291339-m_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1765018291339-m_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3763760,,Size,L,,,,,,,,1550,2210,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765018291339-m_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3763763,,Size,3XL,,,,,,,,1550,2210,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765018218207-l_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3763761,,Size,XL,,,,,,,,1550,2210,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765018218207-l_whatsapp_image_2025-11-29_at_1.04.46_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
long umbrella top,long-umbrella-top,"“Elegant rust floral printed dress with a stylish overlapping neckline — simple, graceful, and effortlessly beautiful.”",jaipur fashions,,Tops,,TRUE,Active,S3763048,,Size,3XL,,,,,,,,1650,2360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764450031542-gemini_generated_image_d7t5ewd7t5ewd7t5-28-27.jpg,1,long umbrella top,https://only2u-media.b-cdn.net/productsimages/1764450031542-gemini_generated_image_d7t5ewd7t5ewd7t5-28-27.jpg,FALSE,long umbrella top,"“Elegant rust floral printed dress with a stylish overlapping neckline — simple, graceful, and effortlessly beautiful.”",,,,,,,,new,FALSE,,,,,,54049010
,long-umbrella-top,,,,,,,,S3763047,,Size,2XL,,,,,,,,1650,2360,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449878055-gemini_generated_image_d7t5ewd7t5ewd7t5-28-27.jpg,2,long umbrella top,https://only2u-media.b-cdn.net/productsimages/1764449878055-gemini_generated_image_d7t5ewd7t5ewd7t5-28-27.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,long-umbrella-top,,,,,,,,S3763046,,Size,XL,,,,,,,,1650,2360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449878055-gemini_generated_image_d7t5ewd7t5ewd7t5-28-27.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,long-umbrella-top,,,,,,,,S3763044,,Size,M,,,,,,,,1650,2360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449857342-gemini_generated_image_d7t5ewd7t5ewd7t5-24.jpg,3,long umbrella top,https://only2u-media.b-cdn.net/productsimages/1764449857342-gemini_generated_image_d7t5ewd7t5ewd7t5-24.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,long-umbrella-top,,,,,,,,S3763045,,Size,L,,,,,,,,1650,2360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449857342-gemini_generated_image_d7t5ewd7t5ewd7t5-24.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
3 pcs set,3-pcs-set,"Elegant mustard green kurti set with beautiful embroidery and a soft floral dupatta. Perfect for festive wear, office wear, and casual outings. Comfortable, stylish, and premium look.",she trendz,,3 PCS SET,,TRUE,Active,s3763133,,Size,XL,,,,,,,,1650,2360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764451288530-gemini_generated_image_d7t5ewd7t5ewd7t5-28-34.jpg,1,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1764451288530-gemini_generated_image_d7t5ewd7t5ewd7t5-28-34.jpg,FALSE,3 pcs set,"Elegant mustard green kurti set with beautiful embroidery and a soft floral dupatta. Perfect for festive wear, office wear, and casual outings. Comfortable, stylish, and premium look.",,,,,,,,new,FALSE,,,,,,54049010
,3-pcs-set,,,,,,,,s3763132,,Size,L,,,,,,,,1650,2360,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764451279086-gemini_generated_image_d7t5ewd7t5ewd7t5-28-39.jpg,2,3 pcs set,https://only2u-media.b-cdn.net/productsimages/1764451279086-gemini_generated_image_d7t5ewd7t5ewd7t5-28-39.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3-pcs-set,,,,,,,,s3763134,,Size,2XL,,,,,,,,1650,2360,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764451288530-gemini_generated_image_d7t5ewd7t5ewd7t5-28-34.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3-pcs-set,,,,,,,,s3763131,,Size,M,,,,,,,,1650,2360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764451279086-gemini_generated_image_d7t5ewd7t5ewd7t5-28-39.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
3pcs set,3pcs-set,"“White and teal embroidered suit paired with a beautifully detailed dupatta — fresh, graceful, and effortlessly classy.”",BHAGAWATHI CREATIONS,,3 PCS SET,,TRUE,Active,S3728049,,Size,2XL,,,,,,,,1999,2860,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764451053893-gemini_generated_image_d7t5ewd7t5ewd7t5-28-16.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764451053893-gemini_generated_image_d7t5ewd7t5ewd7t5-28-16.jpg,FALSE,3pcs set,"“White and teal embroidered suit paired with a beautifully detailed dupatta — fresh, graceful, and effortlessly classy.”",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3728046,,Size,M,,,,,,,,1999,2860,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764450968095-gemini_generated_image_d7t5ewd7t5ewd7t5-28-32.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764450968095-gemini_generated_image_d7t5ewd7t5ewd7t5-28-32.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3728048,,Size,XL,,,,,,,,1999,2860,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764451053893-gemini_generated_image_d7t5ewd7t5ewd7t5-28-16.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S372804,,Size,L,,,,,,,,1999,2860,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764450968095-gemini_generated_image_d7t5ewd7t5ewd7t5-28-32.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
plazo set,plazo-set,"“Chic multicolor printed kurti with elegant white pants and a soft sheer dupatta — stylish, modern, and effortlessly graceful.”",SUBHAMASTHU SHOPPING MALL,,Plazo sets,,TRUE,Active,S3728019,,Size,XL,,,,,,,,2499,3570,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764482342480-gemini_generated_image_1oxhd31oxhd31oxh-5.jpg,1,plazo set,https://only2u-media.b-cdn.net/productsimages/1764482342480-gemini_generated_image_1oxhd31oxhd31oxh-5.jpg,FALSE,plazo set,"“Chic multicolor printed kurti with elegant white pants and a soft sheer dupatta — stylish, modern, and effortlessly graceful.”",,,,,,,,new,FALSE,,,,,,54072040
,plazo-set,,,,,,,,S3728018,,Size,L,,,,,,,,2499,3570,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764482323976-gemini_generated_image_1oxhd31oxhd31oxh-4.jpg,2,plazo set,https://only2u-media.b-cdn.net/productsimages/1764482323976-gemini_generated_image_1oxhd31oxhd31oxh-4.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,plazo-set,,,,,,,,S3728020,,Size,2XL,,,,,,,,2499,3570,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764482342480-gemini_generated_image_1oxhd31oxhd31oxh-5.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
